run_id,num_clients,local_epochs,noise_std,energy_aware,round,accuracy,energy_used,round_time
0,2,1,0.0,False,1,81.51,2.0,1.7893939018249512
0,2,1,0.0,False,2,86.76,2.0,1.9014179706573486
0,2,1,0.0,False,3,88.57000000000001,2.0,1.8028719425201416
0,2,1,0.0,False,4,89.31,2.0,1.8751070499420166
0,2,1,0.0,False,5,89.87,2.0,1.8404059410095215
1,5,1,0.0,False,1,67.81,5.0,1.7863521575927734
1,5,1,0.0,False,2,79.78,5.0,1.9238519668579102
1,5,1,0.0,False,3,83.31,5.0,1.7653539180755615
1,5,1,0.0,False,4,84.97,5.0,1.9262049198150635
1,5,1,0.0,False,5,86.31,5.0,1.8044650554656982
2,5,2,0.02,False,1,79.11,5.0,3.560019016265869
2,5,2,0.02,False,2,84.98,5.0,3.5364890098571777
2,5,2,0.02,False,3,87.41,5.0,3.5460479259490967
2,5,2,0.02,False,4,88.5,5.0,3.464341640472412
2,5,2,0.02,False,5,89.18,5.0,3.5020411014556885
3,5,1,0.02,True,1,69.17,2.2597710575549335,1.1556248664855957
3,5,1,0.02,True,2,77.95,2.857651720755549,1.5338077545166016
3,5,1,0.02,True,3,82.69,2.955466736273619,1.5860350131988525
3,5,1,0.02,True,4,85.0,2.353225874443844,1.1588141918182373
3,5,1,0.02,True,5,86.08,2.0529318332366295,1.6428213119506836
4,10,1,0.05,True,1,55.32,2.56535923690507,1.0100078582763672
4,10,1,0.05,True,2,68.58999999999999,2.7737841912776493,1.235219955444336
4,10,1,0.05,True,3,74.94,2.430999015783325,0.9727649688720703
4,10,1,0.05,True,4,76.97,2.8196401583164383,1.1616690158843994
4,10,1,0.05,True,5,80.56,2.4080068237056156,0.8606851100921631
